Noise_Level,N0001,N0001,N0001,N0002,N0002,N0002,N0003,N0003,N0003
Network_Size,S128,S256,S384,S128,S256,S384,S128,S256,S384
modular,,-2173427.5 ± 155646.2 (2),-2162637.5 ± 114153.7 (14),,-2258555.6 ± 53809.0 (5),,,-2337733.0 ± 59910.6 (3),
small_world,,-2225175.0 ± 84389.0 (2),-2211455.4 ± 86475.4 (14),,-2264190.7 ± 41219.8 (6),,,,
hybrid,,-2299097.5 ± 91384.4 (2),-2200445.4 ± 99915.2 (14),,-2270792.2 ± 26951.8 (5),,,-2247923.3 ± 68370.8 (3),
standard_mlp,-2140626.3 ± 199183.1 (14),-2140626.3 ± 199183.1 (14),-2140626.3 ± 199183.1 (14),-2260140.6 ± 46242.9 (7),-2260140.6 ± 46242.9 (7),,-2310219.0 ± 46059.9 (3),-2310219.0 ± 46059.9 (3),
