Noise_Level,N0001,N0001,N0001,N0002,N0002,N0002,N0003,N0003,N0003
Network_Size,S128,S256,S384,S128,S256,S384,S128,S256,S384
modular,-1708915.4 ± 1161848.7 (2),-2307994.6 ± 1091674.3 (2),,,-2201490.6 ± 515687.9 (7),,,-2761276.3 ± 1035164.5 (14),
small_world,,,,,-2472349.8 ± 837566.7 (7),,-1318590.3 (1),-2858160.1 ± 872517.5 (14),
hybrid,-1124666.8 ± 336649.2 (2),-1249840.4 ± 534915.7 (2),,,-2138199.2 ± 1087032.5 (7),,,-2983434.1 ± 1067829.5 (15),
standard_mlp,-1518430.0 ± 907498.6 (2),-1518430.0 ± 907498.6 (2),,-1766117.6 ± 905845.2 (8),-1854069.5 ± 872356.4 (8),,-2523845.6 ± 1016636.3 (17),-2864943.7 ± 888261.4 (14),-2592571.5 ± 980351.3 (19)
