{'iter_count': 1, 's': 1.0083918056125185e-07}
{'iter_count': 2, 's': 6.000004049155905e-08}
{'iter_count': 3, 's': 1.0231962477291745e-07}
{'iter_count': 4, 's': 1.1496032215063678e-07}
{'iter_count': 5, 's': 1.6858091100857564e-07}
{'iter_count': 6, 's': 2.4695384581718827e-07}
{'iter_count': 7, 's': 2.891196686505282e-07}
{'iter_count': 8, 's': 3.08164402440525e-07}
{'iter_count': 9, 's': 3.6277359072300897e-07}
{'iter_count': 10, 's': 4.770749910676386e-07}
{'iter_count': 11, 's': 6.047692409083538e-07}
{'iter_count': 12, 's': 7.486661388611537e-07}
{'iter_count': 13, 's': 9.111814733842039e-07}
{'iter_count': 14, 's': 1.1089955478382763e-06}
{'iter_count': 15, 's': 1.3413626902547549e-06}
{'iter_count': 16, 's': 1.4692974446006701e-06}
{'iter_count': 17, 's': 1.7227046100742882e-06}
{'iter_count': 18, 's': 2.038046659436077e-06}
{'iter_count': 19, 's': 2.4334490262845065e-06}
{'iter_count': 20, 's': 2.7455607778392732e-06}
{'iter_count': 21, 's': 2.945922233266174e-06}
{'iter_count': 22, 's': 3.4960689845320303e-06}
{'iter_count': 23, 's': 4.010748398286523e-06}
{'iter_count': 24, 's': 4.817612989427289e-06}
{'iter_count': 25, 's': 5.743941983382683e-06}
{'iter_count': 26, 's': 6.702777682221495e-06}
{'iter_count': 27, 's': 7.851454938645475e-06}
{'iter_count': 28, 's': 1.0885911251534708e-05}
{'iter_count': 29, 's': 1.7139531337306835e-05}
{'iter_count': 30, 's': 1.802048245735932e-05}
{'iter_count': 31, 's': 2.235854663013015e-05}
{'iter_count': 32, 's': 2.8811637093895115e-05}
{'iter_count': 33, 's': 4.566705320030451e-05}
{'iter_count': 34, 's': 6.384230800904334e-05}
{'iter_count': 35, 's': 7.48643433325924e-05}
{'iter_count': 36, 's': 0.00010591592581477016}
{'iter_count': 37, 's': 0.00010601374378893524}
{'iter_count': 38, 's': 0.00012391470954753458}
{'iter_count': 39, 's': 0.0001514757750555873}
{'iter_count': 40, 's': 0.0002267190720885992}
{'iter_count': 41, 's': 0.0002900621038861573}
{'iter_count': 42, 's': 0.00038512476021423936}
{'iter_count': 43, 's': 0.00048023031558841467}
{'iter_count': 44, 's': 0.0006245687254704535}
{'iter_count': 45, 's': 0.0009156482992693782}
{'iter_count': 46, 's': 0.0012510018423199654}
{'iter_count': 47, 's': 0.0016466486267745495}
{'iter_count': 48, 's': 0.0022182646207511425}
{'iter_count': 49, 's': 0.0030402352567762136}
{'iter_count': 50, 's': 0.004794399719685316}
{'iter_count': 51, 's': 0.007302130572497845}
{'iter_count': 52, 's': 0.01137571781873703}
{'iter_count': 53, 's': 0.004272144287824631}
{'iter_count': 54, 's': 0.006670569535344839}
{'iter_count': 55, 's': 0.009727989323437214}
{'iter_count': 56, 's': 0.004431512672454119}
{'iter_count': 57, 's': 0.005441872403025627}
{'iter_count': 58, 's': 0.007225272711366415}
{'iter_count': 59, 's': 0.011549988761544228}
{'iter_count': 60, 's': 0.003587110200896859}
{'iter_count': 61, 's': 0.0053257099352777}
{'iter_count': 62, 's': 0.007734791375696659}
{'iter_count': 63, 's': 0.007742122747004032}
{'iter_count': 64, 's': 0.0042215147987008095}
{'iter_count': 65, 's': 0.006639270111918449}
{'iter_count': 66, 's': 0.0102765541523695}
{'iter_count': 67, 's': 0.00445030489936471}
{'iter_count': 68, 's': 0.0061476086266338825}
{'iter_count': 69, 's': 0.007147878874093294}
{'iter_count': 70, 's': 0.011382907629013062}
{'iter_count': 71, 's': 0.004638340324163437}
{'iter_count': 72, 's': 0.00727963587269187}
{'iter_count': 73, 's': 0.011714739724993706}
{'iter_count': 74, 's': 0.016291026026010513}
{'iter_count': 75, 's': 0.005300099495798349}
{'iter_count': 76, 's': 0.007557631004601717}
{'iter_count': 77, 's': 0.012212276458740234}
{'iter_count': 78, 's': 0.019202860072255135}
{'iter_count': 79, 's': 0.005532644223421812}
{'iter_count': 80, 's': 0.00893791951239109}
{'iter_count': 81, 's': 0.014250079169869423}
{'iter_count': 82, 's': 0.0034611329901963472}
{'iter_count': 83, 's': 0.005459619220346212}
{'iter_count': 84, 's': 0.008681225590407848}
{'iter_count': 85, 's': 0.0028006481006741524}
{'iter_count': 86, 's': 0.004469908773899078}
{'iter_count': 87, 's': 0.005186649039387703}
{'iter_count': 88, 's': 0.008075745776295662}
{'iter_count': 89, 's': 0.0107510881498456}
{'iter_count': 90, 's': 0.010459400713443756}
{'iter_count': 91, 's': 0.007724810857325792}
{'iter_count': 92, 's': 0.011504416354000568}
{'iter_count': 93, 's': 0.009849322959780693}
{'iter_count': 94, 's': 0.014427595771849155}
{'iter_count': 95, 's': 0.005923346616327763}
{'iter_count': 96, 's': 0.009073952212929726}
{'iter_count': 97, 's': 0.009508826769888401}
{'iter_count': 98, 's': 0.0070846201851964}
{'iter_count': 99, 's': 0.005459790583699942}
{'iter_count': 100, 's': 0.007749741896986961}
{'iter_count': 101, 's': 0.0012478057760745287}
{'iter_count': 102, 's': 0.0017174052773043513}
{'iter_count': 103, 's': 0.0027580163441598415}
{'iter_count': 104, 's': 0.004356976132839918}
{'iter_count': 105, 's': 0.0047267526388168335}
{'iter_count': 106, 's': 0.006065703462809324}
{'iter_count': 107, 's': 0.0033945562317967415}
{'iter_count': 108, 's': 0.005321241915225983}
{'iter_count': 109, 's': 0.00561001431196928}
{'iter_count': 110, 's': 0.0039298939518630505}
{'iter_count': 111, 's': 0.004022758454084396}
{'iter_count': 112, 's': 0.005663059651851654}
{'iter_count': 113, 's': 0.007527986075729132}
{'iter_count': 114, 's': 0.00837726704776287}
{'iter_count': 115, 's': 0.0028217430226504803}
{'iter_count': 116, 's': 0.004048404283821583}
{'iter_count': 117, 's': 0.005307518411427736}
{'iter_count': 118, 's': 0.004687958396971226}
{'iter_count': 119, 's': 0.006333828903734684}
{'iter_count': 120, 's': 0.003154880367219448}
{'iter_count': 121, 's': 0.005093154031783342}
{'iter_count': 122, 's': 0.008172878995537758}
{'iter_count': 123, 's': 0.012367673218250275}
{'iter_count': 124, 's': 0.006510010454803705}
{'iter_count': 125, 's': 0.006734694819897413}
{'iter_count': 126, 's': 0.010670549236238003}
{'iter_count': 127, 's': 0.006768329534679651}
{'iter_count': 128, 's': 0.010420126840472221}
{'iter_count': 129, 's': 0.007436308078467846}
{'iter_count': 130, 's': 0.011453142389655113}
{'iter_count': 131, 's': 0.004860115237534046}
{'iter_count': 132, 's': 0.007697283755987883}
{'iter_count': 133, 's': 0.006928225979208946}
{'iter_count': 134, 's': 0.01119945477694273}
{'iter_count': 135, 's': 0.009376285597682}
{'iter_count': 136, 's': 0.005966523662209511}
{'iter_count': 137, 's': 0.009638633579015732}
{'iter_count': 138, 's': 0.006197029259055853}
{'iter_count': 139, 's': 0.009860411286354065}
{'iter_count': 140, 's': 0.006074289791285992}
{'iter_count': 141, 's': 0.009610313922166824}
{'iter_count': 142, 's': 0.008324769325554371}
{'iter_count': 143, 's': 0.005342022981494665}
{'iter_count': 144, 's': 0.008601760491728783}
{'iter_count': 145, 's': 0.013226399198174477}
{'iter_count': 146, 's': 0.008231461979448795}
{'iter_count': 147, 's': 0.005912794265896082}
{'iter_count': 148, 's': 0.00929531455039978}
{'iter_count': 149, 's': 0.004414706956595182}
{'iter_count': 150, 's': 0.005537955090403557}
{'iter_count': 151, 's': 0.008704416453838348}
{'iter_count': 152, 's': 0.007205658592283726}
{'iter_count': 153, 's': 0.006520318798720837}
{'iter_count': 154, 's': 0.010184500366449356}
{'iter_count': 155, 's': 0.00839906744658947}
{'iter_count': 156, 's': 0.013122117146849632}
{'iter_count': 157, 's': 0.007161967922002077}
{'iter_count': 158, 's': 0.006273168139159679}
{'iter_count': 159, 's': 0.009718830697238445}
{'iter_count': 160, 's': 0.004510058090090752}
{'iter_count': 161, 's': 0.0031732963398098946}
{'iter_count': 162, 's': 0.005115203559398651}
{'iter_count': 163, 's': 0.0077492729760706425}
{'iter_count': 164, 's': 0.009341331198811531}
{'iter_count': 165, 's': 0.010165421292185783}
{'iter_count': 166, 's': 0.010756101459264755}
{'iter_count': 167, 's': 0.011425992473959923}
{'iter_count': 168, 's': 0.006227092817425728}
{'iter_count': 169, 's': 0.002594079589471221}
{'iter_count': 170, 's': 0.0013138136127963662}
{'iter_count': 171, 's': 0.0013144609984010458}
{'iter_count': 172, 's': 0.0015005979221314192}
{'iter_count': 173, 's': 0.0014590658247470856}
{'iter_count': 174, 's': 0.001391145633533597}
{'iter_count': 175, 's': 0.00144681753590703}
{'iter_count': 176, 's': 0.001438602339476347}
{'iter_count': 177, 's': 0.0014052505139261484}
{'iter_count': 178, 's': 0.0012970424722880125}
{'iter_count': 179, 's': 0.001311147934757173}
{'iter_count': 180, 's': 0.00143247761297971}
{'iter_count': 181, 's': 0.0014432796742767096}
{'iter_count': 182, 's': 0.0014453756157308817}
{'iter_count': 183, 's': 0.00144369644112885}
{'iter_count': 184, 's': 0.001422331901267171}
{'iter_count': 185, 's': 0.0013647321611642838}
{'iter_count': 186, 's': 0.0014757267199456692}
{'iter_count': 187, 's': 0.0014098313404247165}
{'iter_count': 188, 's': 0.001370076322928071}
{'iter_count': 189, 's': 0.0013102131197229028}
{'iter_count': 190, 's': 0.0014404752291738987}
{'iter_count': 191, 's': 0.0013615393545478582}
{'iter_count': 192, 's': 0.0014082171255722642}
{'iter_count': 193, 's': 0.0010022486094385386}
{'iter_count': 194, 's': 0.0012796515366062522}
{'iter_count': 195, 's': 0.0008668185910210013}
{'iter_count': 196, 's': 0.0013768821954727173}
{'iter_count': 197, 's': 0.002116098068654537}
{'iter_count': 198, 's': 0.0023288517259061337}
{'iter_count': 199, 's': 0.003298105439171195}
{'iter_count': 200, 's': 0.001416191691532731}
{'iter_count': 201, 's': 0.002036843216046691}
{'iter_count': 202, 's': 0.0024649547412991524}
{'iter_count': 203, 's': 0.0013408896047621965}
{'iter_count': 204, 's': 0.0015114427078515291}
{'iter_count': 205, 's': 0.0020059822127223015}
{'iter_count': 206, 's': 0.0014133723452687263}
{'iter_count': 207, 's': 0.002251467201858759}
{'iter_count': 208, 's': 0.001164575107395649}
{'iter_count': 209, 's': 0.0012984878849238157}
{'iter_count': 210, 's': 0.001928414567373693}
