topology_type,num_layers,mean_reward,std_reward,training_time
small_world,[2],105.8,6.779380502671318,23.253743171691895
modular,[2],160.2,8.146164741766519,72.76211142539978
hybrid,[2],144.9,11.51911454930456,23.878034830093384
fully_connected_2layers,2,118.5,10.346496991735899,23.353941440582275
fully_connected_3layers,3,150.7,9.623408959407264,22.509365558624268
