{'iter_count': 1, 's': 1.0083918056125185e-07}
{'iter_count': 2, 's': 6.000006180784112e-08}
{'iter_count': 3, 's': 9.490086227970096e-08}
{'iter_count': 4, 's': 1.2924846259920741e-07}
{'iter_count': 5, 's': 1.6779952716206026e-07}
{'iter_count': 6, 's': 2.3212724897803128e-07}
{'iter_count': 7, 's': 2.884570164951583e-07}
{'iter_count': 8, 's': 3.593521569200675e-07}
{'iter_count': 9, 's': 4.390194874304143e-07}
{'iter_count': 10, 's': 5.450613116408931e-07}
{'iter_count': 11, 's': 6.352093464556674e-07}
{'iter_count': 12, 's': 7.551428780061542e-07}
{'iter_count': 13, 's': 9.562180594002712e-07}
{'iter_count': 14, 's': 1.014477447824902e-06}
{'iter_count': 15, 's': 1.0985959306708537e-06}
{'iter_count': 16, 's': 1.2310307511143037e-06}
{'iter_count': 17, 's': 1.4656042139904457e-06}
{'iter_count': 18, 's': 1.8031214494840242e-06}
{'iter_count': 19, 's': 2.311501248186687e-06}
{'iter_count': 20, 's': 2.802341441565659e-06}
{'iter_count': 21, 's': 3.2789189390314277e-06}
{'iter_count': 22, 's': 3.925159035134129e-06}
{'iter_count': 23, 's': 4.087865363544552e-06}
{'iter_count': 24, 's': 4.222498318995349e-06}
{'iter_count': 25, 's': 4.581534994940739e-06}
{'iter_count': 26, 's': 5.13999702889123e-06}
{'iter_count': 27, 's': 6.077934813220054e-06}
{'iter_count': 28, 's': 7.327975254156627e-06}
{'iter_count': 29, 's': 9.157985914498568e-06}
{'iter_count': 30, 's': 1.19873484436539e-05}
{'iter_count': 31, 's': 1.560518649057485e-05}
{'iter_count': 32, 's': 2.036887963186018e-05}
{'iter_count': 33, 's': 2.640242746565491e-05}
{'iter_count': 34, 's': 3.4479751775506884e-05}
{'iter_count': 35, 's': 4.6056688006501645e-05}
{'iter_count': 36, 's': 6.270660378504544e-05}
{'iter_count': 37, 's': 8.379128121305257e-05}
{'iter_count': 38, 's': 0.00011342547077219933}
{'iter_count': 39, 's': 0.00015272974269464612}
