{'iter_count': 130, 's': 0.01601584069430828}
{'iter_count': 131, 's': 0.010844426229596138}
{'iter_count': 132, 's': 0.017400281503796577}
{'iter_count': 133, 's': 0.010348482057452202}
{'iter_count': 134, 's': 0.016486739739775658}
{'iter_count': 135, 's': 0.020017020404338837}
{'iter_count': 136, 's': 0.009155357256531715}
{'iter_count': 137, 's': 0.013081809505820274}
{'iter_count': 138, 's': 0.016928061842918396}
{'iter_count': 139, 's': 0.019880391657352448}
{'iter_count': 140, 's': 0.009205254726111889}
{'iter_count': 141, 's': 0.01473219133913517}
{'iter_count': 142, 's': 0.019161801785230637}
{'iter_count': 143, 's': 0.008599819615483284}
{'iter_count': 144, 's': 0.013873370364308357}
{'iter_count': 145, 's': 0.019313886761665344}
{'iter_count': 146, 's': 0.009049336425960064}
{'iter_count': 147, 's': 0.01456120889633894}
{'iter_count': 148, 's': 0.015446973964571953}
{'iter_count': 149, 's': 0.015355665236711502}
{'iter_count': 150, 's': 0.011334465816617012}
{'iter_count': 151, 's': 0.017343588173389435}
{'iter_count': 152, 's': 0.008700419217348099}
{'iter_count': 153, 's': 0.014000745490193367}
{'iter_count': 154, 's': 0.01771804317831993}
{'iter_count': 155, 's': 0.010092062875628471}
{'iter_count': 156, 's': 0.016042819246649742}
{'iter_count': 157, 's': 0.013980275020003319}
{'iter_count': 158, 's': 0.019152140244841576}
{'iter_count': 159, 's': 0.009552974253892899}
{'iter_count': 160, 's': 0.014771402813494205}
{'iter_count': 161, 's': 0.012134232558310032}
{'iter_count': 162, 's': 0.018600210547447205}
{'iter_count': 163, 's': 0.010246205143630505}
{'iter_count': 164, 's': 0.01563279703259468}
{'iter_count': 165, 's': 0.014814486727118492}
{'iter_count': 166, 's': 0.013776483945548534}
{'iter_count': 167, 's': 0.018022041767835617}
{'iter_count': 168, 's': 0.014537664130330086}
{'iter_count': 169, 's': 0.016138367354869843}
{'iter_count': 170, 's': 0.019094957038760185}
{'iter_count': 171, 's': 0.009797238744795322}
{'iter_count': 172, 's': 0.014280718751251698}
{'iter_count': 173, 's': 0.015094639733433723}
{'iter_count': 174, 's': 0.011349061504006386}
{'iter_count': 175, 's': 0.017653726041316986}
{'iter_count': 176, 's': 0.010288916528224945}
{'iter_count': 177, 's': 0.01538816001266241}
{'iter_count': 178, 's': 0.012996908277273178}
{'iter_count': 179, 's': 0.015797102823853493}
{'iter_count': 180, 's': 0.015928542241454124}
{'iter_count': 181, 's': 0.017215747386217117}
{'iter_count': 182, 's': 0.01360767986625433}
{'iter_count': 183, 's': 0.013624660670757294}
{'iter_count': 184, 's': 0.009278124198317528}
{'iter_count': 185, 's': 0.014472812414169312}
{'iter_count': 186, 's': 0.010919587686657906}
{'iter_count': 187, 's': 0.013941408134996891}
{'iter_count': 188, 's': 0.014199340716004372}
{'iter_count': 189, 's': 0.014476550742983818}
{'iter_count': 190, 's': 0.0159893911331892}
{'iter_count': 191, 's': 0.020208271220326424}
{'iter_count': 192, 's': 0.010984376072883606}
{'iter_count': 193, 's': 0.016385383903980255}
{'iter_count': 194, 's': 0.009530453942716122}
{'iter_count': 195, 's': 0.014670887030661106}
{'iter_count': 196, 's': 0.016064343973994255}
{'iter_count': 197, 's': 0.013306386768817902}
{'iter_count': 198, 's': 0.014489295892417431}
{'iter_count': 199, 's': 0.013623466715216637}
{'iter_count': 200, 's': 0.014839189127087593}
{'iter_count': 201, 's': 0.013835469260811806}
{'iter_count': 202, 's': 0.013031533919274807}
{'iter_count': 203, 's': 0.016321523115038872}
{'iter_count': 204, 's': 0.008503424003720284}
{'iter_count': 205, 's': 0.013483814895153046}
{'iter_count': 206, 's': 0.018103724345564842}
{'iter_count': 207, 's': 0.0104350745677948}
{'iter_count': 208, 's': 0.014319288544356823}
{'iter_count': 209, 's': 0.017748843878507614}
{'iter_count': 210, 's': 0.010085652582347393}
{'iter_count': 211, 's': 0.015544316731393337}
{'iter_count': 212, 's': 0.016563434153795242}
{'iter_count': 213, 's': 0.0090823108330369}
{'iter_count': 214, 's': 0.012159074656665325}
{'iter_count': 215, 's': 0.014478578232228756}
{'iter_count': 216, 's': 0.015438671223819256}
