network_size,seed,strategy,task,topology,performance
50,123,distance_based,classification,small_world,"{'input_nodes': [1, 49, 2, 3, 47], 'output_nodes': [10, 8, 9, 11, 12], 'avg_path_length': 5.24}"
50,123,distance_based,classification,modular,"{'input_nodes': [0, 20, 2, 3, 27], 'output_nodes': [13, 15, 1, 14, 38], 'avg_path_length': 2.72}"
50,123,distance_based,regression,small_world,"{'input_nodes': [1, 49, 2, 3, 47], 'output_nodes': [10, 8, 9, 11, 12], 'avg_path_length': 5.24}"
50,123,distance_based,regression,modular,"{'input_nodes': [0, 20, 2, 3, 27], 'output_nodes': [13, 15, 1, 14, 38], 'avg_path_length': 2.72}"
50,123,distance_based,clustering,small_world,"{'input_nodes': [1, 49, 2, 3, 47], 'output_nodes': [10, 8, 9, 11, 12], 'avg_path_length': 5.24}"
50,123,distance_based,clustering,modular,"{'input_nodes': [0, 20, 2, 3, 27], 'output_nodes': [13, 15, 1, 14, 38], 'avg_path_length': 2.72}"
50,123,module_based,classification,small_world,"{'input_nodes': [10, 13, 30, 46, 18], 'output_nodes': [0, 40, 12, 29, 8], 'avg_path_length': 3.36}"
50,123,module_based,classification,modular,"{'input_nodes': [5, 0, 4, 9, 8], 'output_nodes': [48, 49], 'avg_path_length': 2.6}"
50,123,module_based,regression,small_world,"{'input_nodes': [10, 13, 30, 46, 18], 'output_nodes': [0, 40, 12, 29, 8], 'avg_path_length': 3.36}"
50,123,module_based,regression,modular,"{'input_nodes': [5, 0, 4, 9, 8], 'output_nodes': [48, 49], 'avg_path_length': 2.6}"
50,123,module_based,clustering,small_world,"{'input_nodes': [10, 13, 30, 46, 18], 'output_nodes': [0, 40, 12, 29, 8], 'avg_path_length': 3.36}"
50,123,module_based,clustering,modular,"{'input_nodes': [5, 0, 4, 9, 8], 'output_nodes': [48, 49], 'avg_path_length': 2.6}"
50,456,random,classification,small_world,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [32, 49, 1, 22, 35], 'avg_path_length': 3.76}"
50,456,random,classification,modular,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [32, 49, 1, 22, 35], 'avg_path_length': 2.32}"
50,456,random,regression,small_world,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [32, 49, 1, 22, 35], 'avg_path_length': 3.76}"
50,456,random,regression,modular,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [32, 49, 1, 22, 35], 'avg_path_length': 2.32}"
50,456,random,clustering,small_world,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [32, 49, 1, 22, 35], 'avg_path_length': 3.76}"
50,456,random,clustering,modular,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [32, 49, 1, 22, 35], 'avg_path_length': 2.32}"
50,456,centrality_based,classification,small_world,"{'input_nodes': [44, 15, 49, 4, 31], 'output_nodes': [34, 35, 27, 48, 1], 'avg_path_length': 2.72}"
50,456,centrality_based,classification,modular,"{'input_nodes': [32, 16, 5, 2, 9], 'output_nodes': [22, 47, 43, 15, 45], 'avg_path_length': 1.88}"
