network_size,seed,strategy,task,topology,performance
200,123,centrality_based,clustering,modular,"{'input_nodes': [40, 43, 112, 78, 171], 'output_nodes': [55, 176, 155, 92, 189], 'avg_path_length': 1.8}"
200,123,distance_based,classification,small_world,"{'input_nodes': [1, 199, 2, 3, 197], 'output_nodes': [179, 181, 180, 178, 177], 'avg_path_length': 8.92}"
200,123,distance_based,classification,modular,"{'input_nodes': [0, 61, 104, 143, 46], 'output_nodes': [68, 108, 60, 52, 63], 'avg_path_length': 2.0}"
200,123,distance_based,regression,small_world,"{'input_nodes': [1, 199, 2, 3, 197], 'output_nodes': [179, 181, 180, 178, 177], 'avg_path_length': 8.92}"
200,123,distance_based,regression,modular,"{'input_nodes': [0, 61, 104, 143, 46], 'output_nodes': [68, 108, 60, 52, 63], 'avg_path_length': 2.0}"
200,123,distance_based,clustering,small_world,"{'input_nodes': [1, 199, 2, 3, 197], 'output_nodes': [179, 181, 180, 178, 177], 'avg_path_length': 8.92}"
200,123,distance_based,clustering,modular,"{'input_nodes': [0, 61, 104, 143, 46], 'output_nodes': [68, 108, 60, 52, 63], 'avg_path_length': 2.0}"
200,123,module_based,classification,small_world,"{'input_nodes': [50, 127, 37, 149, 19], 'output_nodes': [104, 179, 53, 162, 158], 'avg_path_length': 5.96}"
200,123,module_based,classification,modular,"{'input_nodes': [10, 13, 30, 46, 18], 'output_nodes': [154, 155, 150, 187, 173], 'avg_path_length': 1.88}"
200,123,module_based,regression,small_world,"{'input_nodes': [50, 127, 37, 149, 19], 'output_nodes': [104, 179, 53, 162, 158], 'avg_path_length': 5.96}"
200,123,module_based,regression,modular,"{'input_nodes': [10, 13, 30, 46, 18], 'output_nodes': [154, 155, 150, 187, 173], 'avg_path_length': 1.88}"
200,123,module_based,clustering,small_world,"{'input_nodes': [50, 127, 37, 149, 19], 'output_nodes': [104, 179, 53, 162, 158], 'avg_path_length': 5.96}"
200,123,module_based,clustering,modular,"{'input_nodes': [10, 13, 30, 46, 18], 'output_nodes': [154, 155, 150, 187, 173], 'avg_path_length': 1.88}"
200,456,random,classification,small_world,"{'input_nodes': [113, 116, 1, 3, 119], 'output_nodes': [169, 127, 136, 145, 55], 'avg_path_length': 6.72}"
200,456,random,classification,modular,"{'input_nodes': [113, 116, 1, 3, 119], 'output_nodes': [169, 127, 136, 145, 55], 'avg_path_length': 1.88}"
200,456,random,regression,small_world,"{'input_nodes': [113, 116, 1, 3, 119], 'output_nodes': [169, 127, 136, 145, 55], 'avg_path_length': 6.72}"
200,456,random,regression,modular,"{'input_nodes': [113, 116, 1, 3, 119], 'output_nodes': [169, 127, 136, 145, 55], 'avg_path_length': 1.88}"
200,456,random,clustering,small_world,"{'input_nodes': [113, 116, 1, 3, 119], 'output_nodes': [169, 127, 136, 145, 55], 'avg_path_length': 6.72}"
200,456,random,clustering,modular,"{'input_nodes': [113, 116, 1, 3, 119], 'output_nodes': [169, 127, 136, 145, 55], 'avg_path_length': 1.88}"
200,456,centrality_based,classification,small_world,"{'input_nodes': [18, 38, 187, 112, 86], 'output_nodes': [51, 19, 195, 161, 87], 'avg_path_length': 4.44}"
200,456,centrality_based,classification,modular,"{'input_nodes': [147, 138, 20, 122, 39], 'output_nodes': [26, 22, 104, 135, 2], 'avg_path_length': 1.8}"
200,456,centrality_based,regression,small_world,"{'input_nodes': [18, 38, 187, 112, 86], 'output_nodes': [51, 19, 195, 161, 87], 'avg_path_length': 4.44}"
200,456,centrality_based,regression,modular,"{'input_nodes': [147, 138, 20, 122, 39], 'output_nodes': [26, 22, 104, 135, 2], 'avg_path_length': 1.8}"
200,456,centrality_based,clustering,small_world,"{'input_nodes': [18, 38, 187, 112, 86], 'output_nodes': [51, 19, 195, 161, 87], 'avg_path_length': 4.44}"
200,456,centrality_based,clustering,modular,"{'input_nodes': [147, 138, 20, 122, 39], 'output_nodes': [26, 22, 104, 135, 2], 'avg_path_length': 1.8}"
200,456,distance_based,classification,small_world,"{'input_nodes': [92, 90, 91, 94, 93], 'output_nodes': [131, 129, 133, 132, 130], 'avg_path_length': 11.6}"
200,456,distance_based,classification,modular,"{'input_nodes': [0, 24, 26, 29, 30], 'output_nodes': [113, 103, 28, 58, 127], 'avg_path_length': 2.04}"
200,456,distance_based,regression,small_world,"{'input_nodes': [92, 90, 91, 94, 93], 'output_nodes': [131, 129, 133, 132, 130], 'avg_path_length': 11.6}"
200,456,distance_based,regression,modular,"{'input_nodes': [0, 24, 26, 29, 30], 'output_nodes': [113, 103, 28, 58, 127], 'avg_path_length': 2.04}"
200,456,distance_based,clustering,small_world,"{'input_nodes': [92, 90, 91, 94, 93], 'output_nodes': [131, 129, 133, 132, 130], 'avg_path_length': 11.6}"
200,456,distance_based,clustering,modular,"{'input_nodes': [0, 24, 26, 29, 30], 'output_nodes': [113, 103, 28, 58, 127], 'avg_path_length': 2.04}"
200,456,module_based,classification,small_world,"{'input_nodes': [113, 116, 1, 3, 119], 'output_nodes': [169, 127, 136, 145, 55], 'avg_path_length': 6.72}"
200,456,module_based,classification,modular,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [169, 151, 182, 190, 189], 'avg_path_length': 1.84}"
200,456,module_based,regression,small_world,"{'input_nodes': [113, 116, 1, 3, 119], 'output_nodes': [169, 127, 136, 145, 55], 'avg_path_length': 6.72}"
200,456,module_based,regression,modular,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [169, 151, 182, 190, 189], 'avg_path_length': 1.84}"
200,456,module_based,clustering,small_world,"{'input_nodes': [113, 116, 1, 3, 119], 'output_nodes': [169, 127, 136, 145, 55], 'avg_path_length': 6.72}"
200,456,module_based,clustering,modular,"{'input_nodes': [29, 24, 0, 40, 7], 'output_nodes': [169, 151, 182, 190, 189], 'avg_path_length': 1.84}"
