timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
50.0,2.5440776348114014,6.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
100.0,3.138082504272461,11.0,1.0,0.4000000059604645,0.0,16.0,10.8,6.0
150.0,3.7423927783966064,17.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
200.0,4.342321395874023,22.0,1.0,0.4000000059604645,0.0,16.0,10.8,6.0
250.0,4.950624704360962,27.0,2.0,0.4000000059604645,0.0,26.0,10.0,6.0
300.0,5.550398588180542,32.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
350.0,6.155534744262695,37.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
400.0,6.763126611709595,38.0,4.0,1.0,0.0,50.0,16.8,6.0
450.0,7.361739635467529,41.0,4.0,1.399999976158142,0.0,50.0,21.2,6.0
500.0,7.966247320175171,46.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
550.0,8.566638946533203,49.0,2.0,0.6000000238418579,0.0,26.0,12.0,6.0
600.0,9.166679382324219,57.0,0.0,0.0,0.0,6.0,6.0,6.0
650.0,9.767703294754028,62.0,1.0,0.4000000059604645,0.0,16.0,10.4,6.0
700.0,10.374736309051514,67.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
750.0,10.969887256622314,73.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
800.0,11.570953845977783,75.0,1.0,0.6000000238418579,0.0,20.0,12.8,6.0
850.0,12.162079095840454,80.0,2.0,0.4000000059604645,0.0,34.0,11.6,6.0
900.0,12.754491806030273,83.0,2.0,0.6000000238418579,0.0,36.0,14.0,6.0
950.0,13.354557514190674,89.0,0.0,0.0,0.0,6.0,6.0,6.0
1000.0,13.958972215652466,95.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
1050.0,14.554863452911377,100.0,1.0,0.20000000298023224,0.0,16.0,8.8,6.0
1100.0,15.159208297729492,102.0,2.0,0.800000011920929,0.0,28.0,16.4,6.0
1150.0,15.758091449737549,108.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
1200.0,16.3622305393219,115.0,0.0,0.0,0.0,6.0,6.0,6.0
1250.0,16.964526176452637,120.0,1.0,0.4000000059604645,0.0,24.0,11.6,6.0
1300.0,17.566664695739746,123.0,1.0,0.6000000238418579,0.0,16.0,12.0,6.0
1350.0,18.167225122451782,128.0,1.0,0.4000000059604645,0.0,18.0,10.4,6.0
1400.0,18.770700454711914,133.0,1.0,0.20000000298023224,0.0,16.0,10.0,6.0
1450.0,19.373040676116943,135.0,1.0,0.20000000298023224,0.0,16.0,10.0,6.0
1500.0,19.97432231903076,141.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
1550.0,20.57730269432068,147.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
1600.0,21.17811393737793,151.0,1.0,0.4000000059604645,0.0,20.0,10.8,6.0
1650.0,21.7782244682312,159.0,0.0,0.0,0.0,6.0,6.0,6.0
1700.0,22.37794041633606,165.0,0.0,0.0,0.0,6.0,6.0,6.0
1750.0,22.980992078781128,169.0,2.0,0.6000000238418579,0.0,30.0,12.8,6.0
1800.0,23.57974338531494,174.0,1.0,0.4000000059604645,0.0,16.0,11.2,6.0
1850.0,24.18132495880127,179.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
1900.0,24.7792067527771,182.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
1950.0,25.382208585739136,187.0,1.0,0.4000000059604645,0.0,18.0,10.4,6.0
2000.0,25.97847008705139,191.0,0.0,0.0,0.0,16.0,8.0,6.0
2050.0,26.578357696533203,196.0,3.0,0.800000011920929,0.0,42.0,15.2,6.0
2100.0,27.190720558166504,199.0,2.0,0.6000000238418579,0.0,26.0,12.0,6.0
2150.0,27.789106845855713,200.0,2.0,0.800000011920929,0.0,26.0,14.4,6.0
2200.0,28.385955095291138,205.0,4.0,1.2000000476837158,0.0,50.0,18.8,6.0
2250.0,28.982892274856567,211.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
2300.0,29.581615924835205,215.0,2.0,0.4000000059604645,0.0,26.0,10.8,6.0
2350.0,30.17862844467163,220.0,1.0,0.4000000059604645,0.0,22.0,11.2,6.0
2400.0,30.77463173866272,223.0,2.0,0.4000000059604645,0.0,26.0,10.0,6.0
2450.0,31.37527084350586,228.0,1.0,0.6000000238418579,0.0,18.0,12.4,6.0
2500.0,31.974560737609863,233.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
2550.0,32.575095653533936,238.0,1.0,0.4000000059604645,0.0,16.0,12.0,6.0
2600.0,33.17471241950989,246.0,0.0,0.0,0.0,6.0,6.0,6.0
2650.0,33.776127099990845,252.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
2700.0,34.377833127975464,260.0,0.0,0.0,0.0,6.0,6.0,6.0
2750.0,34.98187875747681,265.0,1.0,0.4000000059604645,0.0,16.0,10.4,6.0
2800.0,35.58265423774719,267.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
2850.0,36.18545079231262,275.0,0.0,0.0,0.0,6.0,6.0,6.0
2900.0,36.78521990776062,278.0,1.0,0.20000000298023224,0.0,16.0,8.4,6.0
2950.0,37.3857159614563,281.0,3.0,1.2000000476837158,0.0,38.0,18.4,6.0
3000.0,37.99087405204773,286.0,2.0,0.4000000059604645,0.0,28.0,10.4,6.0
3050.0,38.59503436088562,292.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
3100.0,39.19588780403137,298.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
3150.0,39.795825719833374,300.0,3.0,0.800000011920929,0.0,38.0,15.2,6.0
3200.0,40.39853620529175,308.0,0.0,0.0,0.0,6.0,6.0,6.0
3250.0,40.99750876426697,313.0,1.0,0.4000000059604645,0.0,16.0,10.4,6.0
3300.0,41.60260844230652,317.0,1.0,0.6000000238418579,0.0,16.0,12.0,6.0
3350.0,42.206791400909424,320.0,2.0,0.6000000238418579,0.0,34.0,13.6,6.0
3400.0,42.8075065612793,325.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
3450.0,43.41101622581482,330.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
3500.0,44.009541273117065,335.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
3550.0,44.61030673980713,338.0,2.0,0.4000000059604645,0.0,28.0,10.4,6.0
3600.0,45.2084219455719,344.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
3650.0,45.80670952796936,349.0,1.0,0.4000000059604645,0.0,16.0,10.8,6.0
3700.0,46.409919023513794,352.0,2.0,0.6000000238418579,0.0,28.0,12.4,6.0
3750.0,47.01250767707825,355.0,2.0,1.0,0.0,28.0,16.4,6.0
3800.0,47.62619686126709,363.0,0.0,0.0,0.0,6.0,6.0,6.0
3850.0,48.228184938430786,369.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
3900.0,48.83403539657593,375.0,0.0,0.0,0.0,6.0,6.0,6.0
3950.0,49.434314250946045,381.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
4000.0,50.03433632850647,386.0,1.0,0.20000000298023224,0.0,16.0,8.8,6.0
4050.0,50.635074615478516,392.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
4100.0,51.23538088798523,396.0,1.0,0.4000000059604645,0.0,16.0,10.8,6.0
4150.0,51.840110063552856,399.0,2.0,0.6000000238418579,0.0,26.0,13.2,6.0
4200.0,52.44256949424744,402.0,2.0,1.0,0.0,26.0,16.4,6.0
4250.0,53.042670249938965,404.0,2.0,1.2000000476837158,1.0,28.0,18.8,16.0
4300.0,53.642905712127686,409.0,1.0,0.6000000238418579,0.0,24.0,13.6,6.0
4350.0,54.24306678771973,410.0,1.0,0.6000000238418579,0.0,16.0,12.0,6.0
4400.0,54.84549617767334,414.0,4.0,1.2000000476837158,0.0,50.0,18.8,6.0
4450.0,55.45429754257202,418.0,1.0,0.4000000059604645,0.0,22.0,11.2,6.0
4500.0,56.05551862716675,422.0,1.0,0.4000000059604645,0.0,22.0,11.2,6.0
4550.0,56.65796661376953,427.0,2.0,0.4000000059604645,0.0,32.0,11.2,6.0
4600.0,57.25853204727173,430.0,2.0,0.4000000059604645,0.0,36.0,12.0,6.0
4650.0,57.86220932006836,436.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
4700.0,58.46595072746277,442.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
4750.0,59.06598663330078,446.0,1.0,0.4000000059604645,0.0,20.0,10.8,6.0
4800.0,59.67076849937439,451.0,1.0,0.4000000059604645,0.0,16.0,11.2,6.0
4850.0,60.270580530166626,457.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
4900.0,60.86800217628479,459.0,2.0,0.6000000238418579,0.0,30.0,12.8,6.0
4950.0,61.472198247909546,462.0,2.0,1.0,0.0,36.0,18.8,6.0
5000.0,62.077181577682495,467.0,1.0,0.4000000059604645,0.0,16.0,12.0,6.0
5050.0,62.679123640060425,472.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
5100.0,63.27845501899719,475.0,1.0,0.4000000059604645,0.0,16.0,12.0,6.0
5150.0,63.87868523597717,479.0,2.0,0.800000011920929,0.0,28.0,14.8,6.0
5200.0,64.48221278190613,485.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
5250.0,65.08715558052063,487.0,1.0,0.6000000238418579,0.0,20.0,12.8,6.0
5300.0,65.68661999702454,493.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
5350.0,66.29123854637146,498.0,1.0,0.4000000059604645,0.0,16.0,10.8,6.0
5400.0,66.89322257041931,501.0,2.0,0.800000011920929,0.0,28.0,14.4,6.0
5450.0,67.49674558639526,506.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
5500.0,68.0982596874237,511.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
5550.0,68.69938826560974,518.0,0.0,0.0,0.0,6.0,6.0,6.0
5600.0,69.30284881591797,522.0,1.0,0.4000000059604645,0.0,24.0,11.6,6.0
5650.0,69.90251111984253,525.0,1.0,0.4000000059604645,0.0,22.0,11.2,6.0
5700.0,70.5043044090271,528.0,2.0,1.0,0.0,28.0,16.8,6.0
5750.0,71.10571455955505,534.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
5800.0,71.70976400375366,539.0,1.0,0.20000000298023224,0.0,16.0,8.8,6.0
5850.0,72.31081056594849,542.0,1.0,0.6000000238418579,0.0,26.0,14.0,6.0
5900.0,72.91168546676636,548.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
5950.0,73.5157721042633,553.0,1.0,0.4000000059604645,0.0,20.0,10.8,6.0
